PointID,Higgs,mTop,ThetaHiggs,TopYukawa,HiggsTrilin
Point T4-883-01102019130222,93.5045035808214,140.9896620528593,0.0774887629230646,0.9883544808543835,20.82861599331224
Point T3-241-01102019130405,97.36287267093273,183.94370079149658,0.12756904365104071,0.9832737706672331,15.399358031049903
Point T5-151-01102019133055,85.25170642501715,196.5845827545599,0.26202171779650524,0.9574934224018993,10.06398906418548
Point T0-210-01102019125825,138.48193224274533,196.52378776445607,0.14570509730433592,0.9808248704607153,30.573106555640436
Point T1-625-01102019130928,97.48125864839369,192.37354883934267,0.2318338047165427,0.9648078782542571,14.190540865245573
Point T0-87-01102019125832,124.67488079069904,219.2715813449205,0.1931568976616808,0.9728935982254517,21.419715335730974
Point T2-716-01102019130455,90.50824413944785,177.83880324239362,0.07405762799061333,0.9886119679229479,12.932336866334342
Point T6-869-01102019131030,36.542034288975415,8.515322451987249,0.0021749708604490436,-0.9913268694701942,1.4831439865778204
Point T4-870-01102019130228,224.07486569006792,333.1438424765793,0.22408320064337872,0.9665442402473483,47.87456193670186
Point T6-646-01102019131037,77.19751916144197,186.03368042456077,0.24454558934549925,0.9618346372268426,8.215718689699685
Point T5-411-01102019133059,90.72874552340723,138.96638612192123,0.13201024477858855,0.9827039502075878,20.54582990924936
Point T7-411-01102019125926,194.20983662185031,409.91419672061255,0.2528963719307979,0.9597968011741052,26.374205834888574
Point T0-503-01102019125838,87.37310574561393,188.15697595270964,0.2602624498764483,0.9579436989166653,11.481954410020728
Point T7-440-01102019125932,75.39654964936423,175.88091954199237,0.0764407263528045,0.9884343643954345,8.19271268886845
Point T2-486-01102019130502,120.88316190290983,182.8831359123967,0.06215795179418295,0.9894147755020454,26.260534878452972
Point T7-683-01102019125938,125.44419995005526,208.20021884994907,0.04563414462330462,-0.9902971840968053,29.901230431533698
Point T4-90-01102019130235,301.0777588100631,474.2786607717777,0.32252824891299786,0.9402133878111865,59.49605044270556
Point T6-792-01102019131043,110.24894589479236,181.6237903307661,0.26715437251860835,0.9561628131018923,22.566540984730807
Point T1-719-01102019130934,128.05898952406534,183.8411032111913,0.0611499648982096,0.9894763440004587,30.640870461237427
Point T6-859-01102019131050,74.85997756295649,181.9940795607973,0.2198017274169687,0.9674785263533318,7.589098851681905
Point T5-88-01102019133102,130.27031965112198,0.002648792979991613,2.2055255541886254e-06,-0.9913292142074123,0.0011227321118680988
Point T3-943-01102019130411,133.00562265523067,195.37439792560727,0.08209439594305529,0.9879905633225854,30.35768593583363
Point T2-393-01102019130508,117.06103051579748,176.77491633961972,0.053423900743863904,0.9899148677665184,25.278906062995578
Point T7-38-01102019125947,123.43256603354175,162.25804587906157,0.06367885379888856,0.9893199750943923,28.01397401920082
Point T2-134-01102019130513,50.499634316487985,67.14325857643803,0.019313562148434375,0.9911443302763899,16.275495630106715
Point T0-526-01102019125844,110.3274517212521,193.30752253469612,0.1973495364838408,0.9720872173353248,20.26546503565567
Point T1-939-01102019130940,96.42657087005419,194.4557663922116,0.1962590347426328,0.9722986011151294,13.900552774286686
Point T6-99-01102019131057,131.538824031595,229.65212042774536,0.47255124937623155,0.8826894079983678,23.365763560848592
Point T1-443-01102019130946,96.78657542428678,195.48740772681268,0.1973006640438431,0.9720967155553094,13.917652286816187
Point T3-333-01102019130417,96.24045473019757,181.3843528255354,0.06215500250445339,0.9894149571130058,14.556428602260759
Point T4-158-01102019130240,87.67673991687052,130.26607509958797,0.07159467370615574,0.9887896229673919,19.952696505579254
Point T2-586-01102019130518,107.44186248181667,174.87675606842726,0.062134036457646494,0.9894162479093228,20.75020044537722
Point T7-772-01102019125952,87.41049300437962,159.56670719242854,0.03862712429686958,0.9905897474381832,13.605696789938767
Point T0-304-01102019125850,93.6026026357682,203.90293743772824,0.2798218627804733,0.9527711197268846,12.071694933913461
Point T5-804-01102019133107,93.73349679432799,0.00021626922384736312,3.945064619809951e-07,0.9913292142097462,0.00023199084246601907
Point T1-245-01102019130952,143.07887806198968,156.12682866441784,0.2086610408140365,0.9698264480871722,47.25924011772871
Point T6-458-01102019131103,85.44716714147995,150.46746870266006,0.32917193987856397,0.9381050919608549,15.27461018299874
Point T1-175-01102019130958,100.77861007587667,202.42737832087005,0.2439198895012009,0.9619846269915351,14.230290198204962
Point T4-536-01102019130246,244.17229748274653,488.0431442675131,0.09968890245474768,0.9864074382026595,35.17634074008134
Point T2-310-01102019130525,108.51671444592778,235.65318005203633,0.10608690445908085,0.9857560208119236,13.446188483844784
Point T4-295-01102019130252,748.1631178905089,1142.8182026238635,0.16059079814747917,0.9785737675180141,158.71288365553912
Point T7-163-01102019125958,83.12690164186144,155.2653423462878,0.03811950394163669,0.9906090528757044,11.87252754894384
Point T3-187-01102019130424,94.66773881532204,184.87990482488712,0.07177147230136312,0.988777070146531,13.666289346944179
Point T5-877-01102019133110,338.7846473398491,0.00021293264586992662,1.5833934565406064e-07,0.9913292142098109,0.000210535701023098
Point T6-333-01102019131109,61.16230889886906,100.6870835279754,0.11267799711076065,0.9850427477561127,11.97824551596624
Point T1-110-01102019131004,122.79295992605698,177.25883276165226,0.09451338591734518,0.986904846226218,29.246568930231117
Point T6-516-01102019131115,223.5567993953964,0.009726046818437795,3.122839267621913e-06,-0.9913292142049895,0.0034936094694034987
Point T4-372-01102019130259,118.7877527419949,172.70642454196624,0.358075038439789,0.9284523780196791,24.905224806424382
Point T5-248-01102019133113,83.11874995708057,1.0216727974535031,0.0008432004982577013,-0.9913288617987124,0.12746342604553476
Point T4-715-01102019130306,99.77082046142802,181.4353321272673,0.09894428819388897,0.9864806290656579,16.454225006259378
Point T3-157-01102019130430,89.9009551378242,174.88484270819197,0.07120493785058972,0.9888171853166611,13.019318021006761
Point T4-213-01102019130312,109.84881243361168,182.2488955818426,0.05160057993398516,0.9900097405986062,19.732645513562357
Point T1-338-01102019131010,144.79394051281534,158.31069099795062,0.2110204514869911,0.9693392346588745,47.66370703471492
Point T2-804-01102019130531,132.23867929609807,147.18091114856196,0.053874178109573546,0.989890931764332,41.61265407546066
Point T0-159-01102019125855,46.05870737292187,147.30629439295996,0.15966421811635545,-0.9787202242158612,4.226633548436377
Point T2-628-01102019130537,101.92564241220293,187.8583079575589,0.1006223219048244,0.9863149164814119,16.705165391061627
Point T7-119-01102019130003,83.18089661856587,191.92641579774016,0.09545494796951086,0.9868163214528265,9.198468151599062
Point T6-72-01102019131122,80.38221491971154,133.10155476336473,0.26596888057715956,0.9564723830104699,15.522812494960153
Point T7-155-01102019130010,130.0600978547512,181.0141842069817,0.08746979607412844,0.9875393188252825,29.600300251327027
Point T3-273-01102019130436,118.2752525397333,184.45269077015075,0.07432704842141111,0.9885921704852115,24.930005979957684
Point T1-673-01102019131017,88.43312596575113,199.8980859592456,0.2658327260594863,0.9565078512655691,10.53314265859395
Point T3-744-01102019130442,97.18661602599785,167.51157932145057,0.07558339976189676,0.9884989043137624,17.456009440220704
Point T0-554-01102019125904,118.4319472969012,0.002956194727044402,1.4908435424004102e-06,0.9913292142087217,0.00233402814182821
Point T2-923-01102019130543,111.02659240888302,182.55557967295488,0.060201225361249375,0.9895333751889616,21.301955493248037
Point T0-204-01102019125909,91.91446333053116,140.89785338279785,0.07762986579123779,0.9883436427780004,19.96227592565173
