GenNb-86   ||  MinChi2: 759.1231502306549   ||  MeanChi2: 759.1231502306549   ||  StdChi2: 0.0   ||  
GenNb-87   ||  MinChi2: 704.6672720954346   ||  MeanChi2: 704.6672720954346   ||  StdChi2: 0.0   ||  
GenNb-88   ||  MinChi2: 693.818019405534   ||  MeanChi2: 693.818019405534   ||  StdChi2: 0.0   ||  
GenNb-89   ||  MinChi2: 691.2228925724985   ||  MeanChi2: 691.2228925724985   ||  StdChi2: 0.0   ||  
GenNb-90   ||  MinChi2: 656.9455571139827   ||  MeanChi2: 656.9455571139827   ||  StdChi2: 0.0   ||  
GenNb-91   ||  MinChi2: 600.884702959243   ||  MeanChi2: 600.884702959243   ||  StdChi2: 0.0   ||  
GenNb-92   ||  MinChi2: 562.3028365903837   ||  MeanChi2: 562.3028365903837   ||  StdChi2: 0.0   ||  
GenNb-93   ||  MinChi2: 540.6470035330285   ||  MeanChi2: 540.6470035330285   ||  StdChi2: 0.0   ||  
GenNb-94   ||  MinChi2: 534.3947095883876   ||  MeanChi2: 534.3947095883876   ||  StdChi2: 0.0   ||  
GenNb-95   ||  MinChi2: 497.6134969916874   ||  MeanChi2: 497.6134969916874   ||  StdChi2: 0.0   ||  
GenNb-96   ||  MinChi2: 458.57443113701817   ||  MeanChi2: 458.57443113701817   ||  StdChi2: 0.0   ||  
GenNb-97   ||  MinChi2: 382.8935020593162   ||  MeanChi2: 382.8935020593162   ||  StdChi2: 0.0   ||  
GenNb-98   ||  MinChi2: 381.1379836133087   ||  MeanChi2: 381.1379836133087   ||  StdChi2: 0.0   ||  
GenNb-99   ||  MinChi2: 283.90650679099866   ||  MeanChi2: 283.90650679099866   ||  StdChi2: 0.0   ||  
GenNb-100   ||  MinChi2: 262.97239462870385   ||  MeanChi2: 262.97239462870385   ||  StdChi2: 0.0   ||  
GenNb-101   ||  MinChi2: 252.62930652359125   ||  MeanChi2: 252.62930652359125   ||  StdChi2: 0.0   ||  
GenNb-102   ||  MinChi2: 218.64124298808952   ||  MeanChi2: 218.64124298808952   ||  StdChi2: 0.0   ||  
GenNb-103   ||  MinChi2: 201.10927754843993   ||  MeanChi2: 201.10927754843993   ||  StdChi2: 0.0   ||  
GenNb-104   ||  MinChi2: 200.6823461443612   ||  MeanChi2: 200.6823461443612   ||  StdChi2: 0.0   ||  
GenNb-105   ||  MinChi2: 189.40920772737124   ||  MeanChi2: 189.40920772737124   ||  StdChi2: 0.0   ||  
GenNb-106   ||  MinChi2: 184.0838110633428   ||  MeanChi2: 184.0838110633428   ||  StdChi2: 0.0   ||  
GenNb-107   ||  MinChi2: 69.11073206955993   ||  MeanChi2: 69.11073206955993   ||  StdChi2: 0.0   ||  
GenNb-108   ||  MinChi2: 66.52808484558246   ||  MeanChi2: 66.52808484558246   ||  StdChi2: 0.0   ||  
GenNb-109   ||  MinChi2: 64.44968309661004   ||  MeanChi2: 64.44968309661004   ||  StdChi2: 0.0   ||  
GenNb-110   ||  MinChi2: 63.42648530967004   ||  MeanChi2: 63.42648530967004   ||  StdChi2: 0.0   ||  
GenNb-111   ||  MinChi2: 57.40626320449899   ||  MeanChi2: 57.40626320449899   ||  StdChi2: 0.0   ||  
GenNb-112   ||  MinChi2: 53.595840421574074   ||  MeanChi2: 53.595840421574074   ||  StdChi2: 0.0   ||  
GenNb-113   ||  MinChi2: 49.01035771163897   ||  MeanChi2: 49.01035771163897   ||  StdChi2: 0.0   ||  
GenNb-114   ||  MinChi2: 35.004409469066296   ||  MeanChi2: 35.004409469066296   ||  StdChi2: 0.0   ||  
GenNb-115   ||  MinChi2: 33.10763527821346   ||  MeanChi2: 33.10763527821346   ||  StdChi2: 0.0   ||  
GenNb-116   ||  MinChi2: 26.190565884666146   ||  MeanChi2: 26.190565884666146   ||  StdChi2: 0.0   ||  
GenNb-117   ||  MinChi2: 18.374736509048454   ||  MeanChi2: 18.374736509048454   ||  StdChi2: 0.0   ||  
GenNb-118   ||  MinChi2: 15.401580135183716   ||  MeanChi2: 15.401580135183716   ||  StdChi2: 0.0   ||  
GenNb-119   ||  MinChi2: 6.430643123333665   ||  MeanChi2: 6.430643123333665   ||  StdChi2: 0.0   ||  
