GenNb-175   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 49675.85066477249   ||  StdChi2: 99759.79058626051   ||  
GenNb-194   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 48528.798959104424   ||  StdChi2: 99891.02328654779   ||  
GenNb-206   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 48374.85743290599   ||  StdChi2: 99936.76399841197   ||  
GenNb-207   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 47545.2624601288   ||  StdChi2: 100103.99173168746   ||  
GenNb-211   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 47465.39166445183   ||  StdChi2: 100133.74521933394   ||  
GenNb-214   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 46013.64728809112   ||  StdChi2: 100572.77000949053   ||  
GenNb-225   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 45504.31263310026   ||  StdChi2: 100774.03710856294   ||  
GenNb-256   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 45423.17835433707   ||  StdChi2: 100806.2454220942   ||  
GenNb-261   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 44621.95413153873   ||  StdChi2: 100808.84428814366   ||  
GenNb-270   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 44611.78144837036   ||  StdChi2: 100812.86251531284   ||  
GenNb-278   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 22942.26238041483   ||  StdChi2: 36846.447664804946   ||  
GenNb-281   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 22903.73545338956   ||  StdChi2: 36851.801802349975   ||  
GenNb-282   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 22897.984275812538   ||  StdChi2: 36854.63954120293   ||  
GenNb-286   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 15227.405294694818   ||  StdChi2: 16312.185595054054   ||  
GenNb-319   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 15225.860430173785   ||  StdChi2: 16313.184366299201   ||  
GenNb-328   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 15079.139861635002   ||  StdChi2: 15985.972553570007   ||  
GenNb-333   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 12147.058530308715   ||  StdChi2: 11345.092216673915   ||  
GenNb-343   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 12146.327354487345   ||  StdChi2: 11345.243069340919   ||  
GenNb-347   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 12110.16262212339   ||  StdChi2: 11353.230792467904   ||  
GenNb-357   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 11951.877683893876   ||  StdChi2: 11224.088612980191   ||  
GenNb-359   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 11617.818658737651   ||  StdChi2: 10381.927760774277   ||  
GenNb-372   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 11589.23221104281   ||  StdChi2: 10357.935449547384   ||  
GenNb-380   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 10509.274263824389   ||  StdChi2: 9963.07667301155   ||  
GenNb-381   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 10500.207070770324   ||  StdChi2: 9968.919040290382   ||  
